"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Microstructure-based Computer Simulation and Mechanical Modeling of Particle-reinforced Composites","L. Zhu; W. Cai; S. Tu; B. Gu","Nanjing Univ. of Technol., Nanjing; Nanjing Univ. of Technol., Nanjing; Nanjing Univ. of Technol., Nanjing; Nanjing Univ. of Technol., Nanjing","2008 International Workshop on Modelling, Simulation and Optimization","20 Jan 2009","2008","","","396","399","A new methodology is presented for three-dimensional (3D) computer simulations of realistic microstructures of particle-reinforced composites, through its application to the aluminum matrix composites reinforced with realistic complex SiC particles of highly variable and irregular angular geometries. It is followed by a finite element modeling for the microscopic and macroscopic mechanical behavior of the composites. Comparison is drawn between the stress-strain curves obtained from the microstructure-based model, simplified-particle (spheres and ellipsoids) model and available experiment data, respectively. Results show that the microstructure-based model is more accurate in predicting and understanding macroscopic and microscopic material behavior. The methodology is sufficiently general and flexible to represent the virtual complex microstructures of the composites via different combinations of process parameters. It is particularly important for the property prediction and design.","","978-0-7695-3484-8","10.1109/WMSO.2008.91","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=4757034","particle-reinforced composites;microstructure;simulation","Computer simulation;Microstructure;Microscopy;Application software;Aluminum;Silicon carbide;Computational geometry;Finite element methods;Ellipsoids;Predictive models","digital simulation;finite element analysis;particle reinforced composites;physics computing;stress-strain relations","microstructure-based computer simulation;mechanical modeling;particle-reinforced composites;3D computer simulation;realistic microstructures;aluminum matrix composites;SiC particles;finite element modeling;mechanical behavior;stress-strain curves;microstructure based model;simplified particle;macroscopic material behavior;microscopic material behavior;virtual complex microstructures;process parameters","","2","","13","","20 Jan 2009","","","IEEE","IEEE Conferences"
"Model reduction method based on selective clustering ensemble algorithm and Theory of Constraints in semiconductor wafer fabrication","C. Zhou; Zhengcai Cao; M. Liu; Jiaqi Zhang","College of Information Science and Technology, Beijing University of Chemical Technology, 100029, China; College of Information Science and Technology, Beijing University of Chemical Technology, 100029, China; Department of Automation, Tsinghua University, Beijing 100084, China; College of Information Science and Technology, Beijing University of Chemical Technology, 100029, China","2016 IEEE International Conference on Automation Science and Engineering (CASE)","17 Nov 2016","2016","","","885","890","Simulation model is extensively used for evaluation of dispatching rules in semiconductor wafer fabrication. However, due to the high complexity of the simulation model, the simulation is so time-consuming that it cannot response to the dynamic changes of practical fabrication well. In order to reduce computer execution time and in the same time maintain the ability of the model to evaluate the scheduling rules correctly, a model reduction method based on selective clustering ensemble algorithm (SCEA) and Theory of Constraints (TOC) is proposed. Firstly, SCEA is adopted to identify the unimportant machines steadily, in which multiple base clusterings (BCs) are trained by k-means with different initial cluster centers and then are combined into a final result based on selective weight-voting strategy. Secondly, unimportant machines are removed from the detailed model, since such machines may not significantly affect the performance of the system, according to TOC. Thirdly, closed-loop correction structure is built to ensure the robustness of the reduced model. Finally, the reduced simulation model is used to evaluate the dispatching rules respectively with the scheduling objective of on-time delivery (OTD) rate, mean cycle time (MCT) and throughput. The simulation results show that the method presented is available and effective.","2161-8089","978-1-5090-2409-4","10.1109/COASE.2016.7743495","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=7743495","","Semiconductor device modeling;Computational modeling;Fabrication;Clustering algorithms;Dispatching;Production;Reduced order systems","dispatching;pattern clustering;reduced order systems;scheduling","model reduction method;selective clustering ensemble algorithm;semiconductor wafer fabrication;dispatching rules;scheduling rules;SCEA;theory of constraints;TOC;unimportant machines;multiple base clusterings;BC;k-means;initial cluster centers;selective weight-voting strategy;closed loop correction structure;reduced model;reduced simulation model;on-time delivery;OTD rate;mean cycle time;MCT","","2","","12","","17 Nov 2016","","","IEEE","IEEE Conferences"
"Optimization through rapid meta-model based transient thermal simulation of lithium ion battery cells","K. Matthias; H. Felix; L. Markus","Technical University of Munich (TUM), Dept. of Mechanical Engineering, Institute of automotive Technology, Germany; Technical University of Munich (TUM), Dept. of Mechanical Engineering, Institute of automotive Technology, Germany; Technical University of Munich (TUM), Dept. of Mechanical Engineering, Institute of automotive Technology, Germany","2017 IEEE Transportation Electrification Conference and Expo (ITEC)","27 Jul 2017","2017","","","334","341","Today's battery electric vehicles (BEVs) use a broad variety of shapes and sizes of lithium-ion battery cells. One of the major concerns about a BEV battery pack is the process of aging, and the loss of driving range over the years of utilization. The phenomenon of capacity loss of lithium-ion batteries has been under scientific investigation for many years. Meanwhile, it is commonly accepted that the effects of temperature play an important role in this context [1-6]. Moreover, among others, the dynamic temperature behavior dictates the performance of the battery pack. The dimensioning of the cooling plays an important role in this manner [7]. In the early concept phase of a BEV and in this case the battery pack, many decisions must be made which have a major influence on the aforementioned aspects. Normally, simulation models are created to answer essential initial questions and to assist the cell selection process, as well as more general conceptual questions regarding the whole battery pack. More complex simulation models like 3D electrochemical or electrothermal finite element models require a great deal of computational power, especially when transient simulations are needed to answer important questions [8]. Therefore, a method is developed, which can speed up those simulations by a factor of more than 1,000 without losing to much accuracy of result. By creating metamodels with standardized pre-simulations of the models, the dynamic behavior can be emulated. It is shown, that by evaluating these meta-models in sequence, transient simulations can be executed without the time-consuming solving process of finite element models. Hence, it is possible to investigate a multitude of possible configurations in a much shorter and less computational expensive way.","","978-1-5090-3953-1","10.1109/ITEC.2017.7993294","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=7993294","lithium;ion;battery;meta-model;simulation;transient;optimization;cell size;thermal","Batteries;Computational modeling;Optimization;Load modeling;Temperature measurement;Shape;Transient analysis","ageing;battery powered vehicles;finite element analysis;lithium compounds;optimisation;secondary cells;thermal analysis","rapid meta-model;transient thermal simulation;lithium ion battery cells;battery electric vehicles;BEV battery pack;dynamic temperature behavior;cell selection process;3D electrochemical finite element models;electrothermal finite element models","","","","24","","27 Jul 2017","","","IEEE","IEEE Conferences"
"Using Abstraction to Guide the Search for Long Error Traces","K. Nanshi; F. Somenzi","Western Digital Technologies, Irvine, CA, USA; Department of Electrical, Computer, and Energy Engineering, University of Colorado, Boulder, CO, USA","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","14 Feb 2013","2013","32","3","453","466","Model checking is a formal method for verifying whether the system satisfies a user-defined specification. Compared to simulation, model checking is restricted in capacity. On the other hand, simulation is weak in detecting bugs that require long and complex sequences of events to be exposed. This paper combines model checking and simulation in an abstraction-refinement scheme to mitigate the problems of both methods. Abstraction refinement iteratively constructs a simplified model to verify the original model. While a simplified model mitigates the weakness of model checking, the set of simplified error traces model helps guide simulation toward deep bugs. In abstraction refinement, concretization-a process of deriving an error trace in the original model from the abstract ones-is used to invalidate spurious abstract error traces or to refute a property. In this paper, we describe a novel concretization algorithm that combines simulation with satisfiability to efficiently refute properties with very long error traces.","1937-4151","","10.1109/TCAD.2012.2228266","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=6461986","Abstraction refinement;algorithms;concretization;satisfiability (SAT);simulation;verification","Abstracts;Concrete;Vectors;Integrated circuit modeling;Model checking;Computational modeling;Analytical models","formal specification;formal verification;program debugging","abstraction-refinement scheme;long error traces;model checking;formal method;user-defined specification;deep bugs;spurious abstract error traces;concretization algorithm","","2","","22","","14 Feb 2013","","","IEEE","IEEE Journals"
"A Big Data visualization layer meta-model proposition","A. Erraissi; B. Mouad; A. Belangour","Faculty of sciences Ben M'Sik, Laboratory of Information Technology and Modeling LTIM, Hassan II University, Casablanca, Morocco; Faculty of sciences Ben M'Sik, Laboratory of Information Technology and Modeling LTIM, Hassan II University, Casablanca, Morocco; Faculty of sciences Ben M'Sik, Laboratory of Information Technology and Modeling LTIM, Hassan II University, Casablanca, Morocco","2019 8th International Conference on Modeling Simulation and Applied Optimization (ICMSAO)","24 Oct 2019","2019","","","1","5","The evolution and democratization of technologies have created a veritable explosion of information, this, of course, gives rise to an urgent need to analyze and deal with the huge masses of data. In fact, the problems raised by the accumulation of data (storage, processing time, heterogeneity, capture rate/generation, etc.) become stronger because the data are massive, complex and varied. It is clear that the representation of information has the capacity to synthesize and condense data, and constitutes an efficient approach for analysis. Nevertheless, it remains ineffective and does not solve these problems. Besides that, conventional visualization techniques are rarely adapted to manage and process this mass of information. To face the complex big data challenges, various types of technologies have been developed. This paper talks about the visualization layer. This layer is located just above the Data Sources, Ingestion, Hadoop storage and Hadoop Platform Management layers for which we have already proposed a meta-modeling. It has a very important role at the level of Big Data Structure. In a continuous effort, we shall present in this paper a universal meta-modeling for the visualization layer and its relationship with the other layers of a Big Data system.","2573-5276","978-1-5386-7684-4","10.1109/ICMSAO.2019.8880276","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8880276","Meta-model;Model Driven Engineering;Big Data;Management layer;Visualization layer;Data Viz","Data visualization;Visualization;Big Data;Image color analysis;Data models;Encoding;Shape","Big Data;data analysis;data structures;data visualisation;parallel processing","Hadoop storage;Big Data structure;universal meta-modeling;data sources;Big Data visualization layer meta-model proposition;Hadoop platform management layers","","3","","24","","24 Oct 2019","","","IEEE","IEEE Conferences"
"Active Learning for Input Space Exploration in Traffic Simulators","F. Antunes; B. Ribeiro; F. Pereira","Department of Informatics Engineering, CISUC, University of Coimbra, Coimbra, Portugal; Department of Informatics Engineering, CISUC, University of Coimbra, Coimbra, Portugal; Department of Informatics Engineering, CISUC, University of Coimbra, Coimbra, Portugal","2018 International Joint Conference on Neural Networks (IJCNN)","14 Oct 2018","2018","","","1","8","Urban environments are systems of overwhelming complexity and dynamism, involving numerous variables and idiosyncrasies which not usually easy to model from a functional perspective. Simulation modeling is a common and well-accepted approach to study such systems, specially those that prove to be too complex to be analyzed by standard analytic methods. However, such urban simulation models can become computationally very expensive to run. To address this drawback, simulation metamodels can be employed to approximate the underlying simulation function. In this paper, we propose a batch-mode active learning strategy based on Gaussian Processes metamodeling that searches for the most informative data points in batches with respect to their corresponding predictive variances. These points are selected in such a way that they originate from different high variance neighborhoods. Eventually, this allows us to analyze the simulation output behavior with fewer simulation requests. Using an illustrative traffic simulation example, the results show that the proposed restricted batch-mode strategy is able to increase the simulation input space exploration efficiency in comparison with standard batch-mode strategies.","2161-4407","978-1-5090-6014-6","10.1109/IJCNN.2018.8489302","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8489302","Active Learning;Gaussian Processes;Simulation Metamodeling;Traffic Simulation","Computational modeling;Metamodeling;Analytical models;Context modeling;Predictive models;Data models;Training","digital simulation;Gaussian processes;learning (artificial intelligence);traffic engineering computing","urban environments;urban simulation models;simulation metamodels;batch-mode active learning strategy;Gaussian Processes metamodeling;informative data points;restricted batch-mode strategy;simulation input space exploration efficiency;standard batch-mode strategies;predictive variances;traffic simulation;traffic simulators","","","","43","","14 Oct 2018","","","IEEE","IEEE Conferences"
"Abstract modeling for engineering and engagement level simulations","R. M. McGraw; R. A. MacDonald","RAM Labs. Inc., San Diego, CA, USA; NA","2000 Winter Simulation Conference Proceedings (Cat. No.00CH37165)","6 Aug 2002","2000","1","","326","334 vol.1","Today's industrial and defense communities are increasingly reliant on the use of simulation to reduce cost. At times, however, these simulations themselves have resulted in a waste of both time and money with regard to future simulation development. Current trends address this problem by promoting the development of simulation infrastructures that are scalable, portable, and interoperable over a variety of paradigms. These infrastructures, such as HLA and SPEEDES, address cost issues by providing simulation infrastructures that promote model reuse by managing model interactions across diverse paradigms, improving scenario development, and allowing for a scalable distributed simulation capability. While these modern simulation infrastructures address many cost-related issues, they do not fully address issues related to model reuse. Simulations that utilize model reuse may result in large complex system models comprised of a diverse set of subsystem component models covering varying amounts of detail and fidelity. Often, a complex simulation that reuses high fidelity subcomponent models may result in a more detailed system model than the simulation objective requires. Simulating such a system model results in a waste of simulation time with respect to addressing the simulation goals. These simulation costs, however, can be reduced through the use of abstract modeling techniques. Key issues in the abstraction process involve identifying the variables or parameters than can be abstracted away for a given simulation objective and applying the proper abstraction technique to replace those parameters. The paper presents approaches for both identifying and replacing these candidate variables.","","0-7803-6579-8","10.1109/WSC.2000.899735","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=899735","","Computational modeling;Costs;Power system modeling;Weapons;Laboratories;Defense industry;Modems;Parameter estimation;Power engineering computing;Power generation","digital simulation;engineering computing;software reusability","abstract modeling;engagement level simulations;engineering level simulations;defense communities;industrial communities;simulation development;simulation infrastructures;HLA;SPEEDES;cost issues;model reuse;model interactions;scenario development;scalable distributed simulation capability;large complex system models;subsystem component models;complex simulation;high fidelity subcomponent models;simulation goals;simulation costs;abstraction process;simulation objective;candidate variables","","7","","20","","6 Aug 2002","","","IEEE","IEEE Conferences"
"The Simplification of the MMG Model of Ship Motion With the Method for Parameter Calculation","Z. Zhang; Y. Liu; Y. Chen; G. Zhou","College of Electrical Engineering Naval University of Engineering,Wuhan,China; College of Electrical Engineering Naval University of Engineering,Wuhan,China; College of Electrical Engineering Naval University of Engineering,Wuhan,China; College of Electrical Engineering Naval University of Engineering,Wuhan,China","2019 Chinese Automation Congress (CAC)","13 Feb 2020","2019","","","572","577","As a simplified MMG (Manoeuvring Model Group) model, the ship motion model proposed in the standard of the International Electrotechnical Commission (IEC62065) has limitation of imprecise motion simulation for atypical ship, because of the simplification of some physical quantity such as propeller thrust and fluid resistance. To keep the concision of the IEC62065 model and address the issues of inaccuracy of atypical ship, this paper proposed a method of simplifying the complex MMG model with considerable accuracy for atypical ship into IEC62065 model. By designing motion simulation experiment of the complex MMG model for atypical ship, the relevant parameters in the IEC62065 model for the atypical ship will be calculated. Comparing the simulation results of the IEC62065 model with complex MMG model for the same atypical ship, it shows a high fitting degree between them. By using the method, a good model simplification effect can be obtained.","2688-0938","978-1-7281-4094-0","10.1109/CAC48633.2019.8997010","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8997010","model simplification;parameter equivalence;simulation experiment;IEC62065","Marine vehicles;Autopilot;IEC Standards;Propellers;Simulation","propellers;ships","simplified MMG model;Manoeuvring Model Group;ship motion model;imprecise motion simulation;IEC62065 model;model simplification;International Electrotechnical Commission;physical quantity","","","","7","","13 Feb 2020","","","IEEE","IEEE Conferences"
"Virtual Prototyping and Simulation of Electro-Thermal Systems","T. Hauck; V. Jha","NXP Semiconductors Germany, Schatzbogen 7, Munich, 81829, Germany; NXP Semiconductors Germany, Schatzbogen 7, Munich, 81829, Germany","2019 20th International Conference on Thermal, Mechanical and Multi-Physics Simulation and Experiments in Microelectronics and Microsystems (EuroSimE)","30 May 2019","2019","","","1","4","Virtual prototyping is the way forward to shorten development cycles and deliver optimized design solutions for semiconductor components and electronic modules. It allows us to make virtual experiments for devices that have never been built before. We can predict safe operating areas and on the other hand identify critical use conditions. Key requirement for virtual prototyping is an efficient and accurate simulation model that does consider multiple physical domains (e.g. thermal, electrical, mechanical) along with complex 3-D structures. The focus of the current paper is to present an efficient simulation flow for prediction of three-dimensional temperature fields at transient operating conditions with multiple heat sources and associated thermal cross talk at component and system levels. In what follows, we will demonstrate the virtual assembly of an electronic control unit (ECU) and its transient thermal simulation in time domain. We will decompose the unit into its major components for which fast mathematical models will be derived by means of model order reduction techniques. We will then create a reduced mathematical model of the entire ECU by simply interconnecting all component models at predetermined I/Os. We will demonstrate a stimulus-response analysis of the interconnected system and a subsequent result expansion path for 3-D visualization of temperature fields. Finally, we will compare simulation results of the reduced system model with the corresponding full-scale finite element model.","","978-1-5386-8040-7","10.1109/EuroSimE.2019.8724572","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8724572","","Mathematical model;Finite element analysis;Transmission line matrix methods;Transistors;Interconnected systems;Heating systems;Integrated circuit modeling","electronic engineering computing;finite element analysis;transient analysis;virtual prototyping","virtual prototyping;electro-thermal systems;optimized design solutions;semiconductor components;electronic modules;virtual experiments;transient operating conditions;thermal cross talk;virtual assembly;electronic control unit;transient thermal simulation;model order reduction techniques;reduced mathematical model;reduced system model;simulation flow;heat sources","","","","5","","30 May 2019","","","IEEE","IEEE Conferences"
"Modeling Language Extension in the Enterprise Systems Domain","C. Atkinson; R. Gerbig; M. Fritzsche","Univ. of Mannheim, Mannheim, Germany; Univ. of Mannheim, Mannheim, Germany; Modeling & Taxonomy, SAP AG, Walldorf, Germany","2013 17th IEEE International Enterprise Distributed Object Computing Conference","14 Nov 2013","2013","","","49","58","As the number and diversity of technologies involved in building enterprise systems continues to grow so does the importance of modeling tools that are able to present customized views of enterprise systems to different stakeholders according to their needs and skills. Moreover, since the range of required view types is continuously evolving, it must be possible to extend and enhance the languages and services offered by such tools on an ongoing basis. However, this can be difficult with today's modeling tools because the meta-models that define the languages, views and services they support are usually hardwired and thus not amenable to extension. In practice, therefore, various workarounds have to be used to extend a tool's underlying meta-model. Some of these are built into the implemented modeling standards (e.g. the UML profile, BPMN 2.0 and ArchiMate 2.0 extension mechanisms) while others have to be applied by complementary, external tools (e.g. model weaving). These techniques not only increase accidental complexity, they also reduce the ability of the modeling tool to ensure adherence to enterprise rules and constraints. In this paper we discuss the strengths and weaknesses of the various approaches for language extension and propose a modeling framework best able to support the main extension use-cases currently found in practice today.","1541-7719","978-0-7695-5081-7","10.1109/EDOC.2013.15","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=6658263","Multi-level Modeling;Model Language Extension;Orthogonal Classification Architecture;Linguistic Classification;Ontological Classification","Unified modeling language;Business;Computational modeling;Standards;Weaving;Analytical models;Data models","corporate modelling;simulation languages;Unified Modeling Language","enterprise constraints;enterprise rules;accidental complexity;BPMN 2.0 extension mechanisms;UML profile extension mechanisms;ArchiMate 2.0 extension mechanisms;modeling standards;metamodels;service extension;service enhancement;language enhancement;modeling tools;technology diversity;enterprise system domain;modeling language extension","","6","","22","","14 Nov 2013","","","IEEE","IEEE Conferences"
"Model-driven development of simulation-based system design tools","S. Jäger; R. Maschotta; T. Jungebloud; A. Wichmann; A. Zimmermann","Systems and Software Engineering Group, Computer Science and Automation Department, Technische Universität Ilmenau, Germany; Systems and Software Engineering Group, Computer Science and Automation Department, Technische Universität Ilmenau, Germany; Systems and Software Engineering Group, Computer Science and Automation Department, Technische Universität Ilmenau, Germany; Systems and Software Engineering Group, Computer Science and Automation Department, Technische Universität Ilmenau, Germany; Systems and Software Engineering Group, Computer Science and Automation Department, Technische Universität Ilmenau, Germany","2016 IEEE 14th International Conference on Software Engineering Research, Management and Applications (SERA)","21 Jul 2016","2016","","","209","215","Analysis and validation using simulation is a helpful tool in systems engineering, but requires in-depth knowledge of various aspects of the system itself, used model classes, and an appropriate software tool. Usually, this expertise is spread over a number of team members, thus making it a non-trivial task. A domain-specific simulation-based system design tool (termed here simulation-based application, SBA) could fill this gap. It hides the complexity of the model from the system designer and allows to configure parameters and analyze results in one single application. The necessary extra effort in software development compared to a bare modeling tool can be reduced with techniques for model-driven development. This paper presents an approach to use such methods to improve the development of SBA as a case of domain-specific software product lines. The workflow is described as well as the existing meta-model and applied techniques from model-driven development. The paper also shows the necessary elements of a meta model to describe SBAs. An example shows the complete workflow using an example of a wireless sensor networks for avionic applications.","","978-1-5090-0809-4","10.1109/SERA.2016.7516148","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=7516148","Model-based design;simulation;model-driven development;meta-model","Unified modeling language;Data models;Analytical models;Generators;Model-driven development;Software systems","digital simulation;software product lines;software tools","model-driven development;systems engineering;model classes;software tool;domain-specific simulation-based system design tool;simulation-based application;SBA;model complexity;parameters configuration;software development;modeling tool;domain-specific software product lines;meta-model;wireless sensor networks;avionic applications","","3","","23","","21 Jul 2016","","","IEEE","IEEE Conferences"
"Simulation-based parameter identification of a reduced model using neural networks","M. G. A. Nassef; C. Schenck; B. Kuhfuss","Bime institute for mechanical engineering, University of Bremen, 28359 Germany; Bremen institute for mechanical engineering (bime), University of Bremen, 28359 Germany; Bremen institute for mechanical engineering (bime), University of Bremen, 28359 Germany","2011 9th IEEE International Conference on Control and Automation (ICCA)","26 Jan 2012","2011","","","974","978","Simulation models are used to study and design real systems in order to optimize their performance. However, the lack of complexity in models, as compared to systems, leads to differences between simulation and actual behavior. Identification of the effective system parameters in the simulation models would reduce the discrepancies between the model and the real system and results in better simulation of system behavior. In this paper, radial basis neural networks are proposed for the identification of the effective parameters of the machine tool feed drive system. Neural networks are first trained with an estimated set of model parameter values and corresponding step responses of the position control loop. After the training period, the response of the model with the identified parameters is compared to the system step position response at different axis positions for validation. An application of neural network to other trajectories is done on a ramp function. The obtained results reveal considerable potential of neural networks in identifying accurately the system parameters and in reducing the discrepancies between experimental test results and the model.","1948-3457","978-1-4577-1476-4","10.1109/ICCA.2011.6138002","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=6138002","feed drive systems;reduced model;parameter identification;neural networks","Mathematical model;Feeds;Parameter estimation;Artificial neural networks;Nonlinear systems;Fasteners","machine tools;neurocontrollers;numerical control;radial basis function networks","simulation based parameter identification;reduced model;simulation models;radial basis neural networks;set estimation;control loop position;numerical control;NC;machine tool","","3","","16","","26 Jan 2012","","","IEEE","IEEE Conferences"
"Measurement-based system reduction using autoregressive model","J. Chai; Y. Liu; Y. Liu; N. Bhatt; A. D. Rosso; E. Farantatos","Department of EECS, University of Tennessee-Knoxville, USA; Department of EECS, University of Tennessee-Knoxville, USA; Department of EECS, University of Tennessee-Knoxville, USA; Electric Power Research Institute, Knoxville, TN USA; Electric Power Research Institute, Knoxville, TN USA; Electric Power Research Institute, Knoxville, TN USA","2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D)","25 Jul 2016","2016","","","1","5","With the constantly changing power system topology and operation status, it is not yet feasible to update full power system simulation models in real time. Furthermore, the accuracy of models for dynamic simulation is a concern. In the large-scale power system dynamic simulation, usually only the dynamics of a local system need to be studied while external systems can be reduced. Thus, dynamic equivalencing is one solution for the increasing size and complexity of power systems. This paper develops a measurement-based equivalent model of the external systems in order to improve the model accuracy of the reduced system and increase the speed of dynamic simulation through system reduction. The dynamic equivalents are obtained by a system identification method and integrated to the simulation tool.","2160-8563","978-1-5090-2157-4","10.1109/TDC.2016.7519981","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=7519981","Power system dynamic simulation;Model reduction;Dynamic equivalent;System identification","Load modeling;Power system dynamics;Time-frequency analysis;Mathematical model;Correlation coefficient;Training","autoregressive processes;power system simulation","measurement-based system reduction;autoregressive model;power system topology;power system operation status;power system simulation models;large-scale power system dynamic simulation;power systems;measurement-based equivalent model","","4","","12","","25 Jul 2016","","","IEEE","IEEE Conferences"
"3D GIS Integrated Model Simulation Algorithm Based on Block Model","J. Tao","Sch. of Econ. & Manage., Zhongyuan Univ. of Technol., Zhengzhou","2008 IEEE Pacific-Asia Workshop on Computational Intelligence and Industrial Application","20 Jan 2009","2008","1","","315","319","In order to organize and manage 3D GIS spatial data effectively, and represent 3D spatial entity integrally, a hybrid data structure model called BOT model (block octree tetrahedron model) is presented on basis of geological block model, which combines octree and tetrahedral network (TEN) structures. Using BOT generation algorithm, the block model is redivided with octree as general shape description and TEN as partial precise description, in which different gradation of grey are used to stand for different attributes of unit blocks. To reduce the memory space a linear BOT coding technology is proposed as well. The results of simulation experiments made with empirical data demonstrate that the BOT model holds merits of both octree and TEN and can represent 3D objects more effectively and precisely. Moreover, the algorithm simplifies modeling process and to a certain extent, reduces computing complexity for visualization.","","978-0-7695-3490-9","10.1109/PACIIA.2008.145","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=4756574","Block model;Octree;TEN;Delaunay triangulation;BOT model","Geographic Information Systems;Geology;Space technology;Data structures;Data models;Solids;Computational modeling;Computer network management;Technology management;Shape","computational geometry;data visualisation;geographic information systems;octrees;solid modelling","3D GIS integrated model simulation algorithm;block model;3D GIS spatial data management;3D spatial entity representation;block octree tetrahedron model;BOT data structure;geological block model;BOT generation algorithm;shape description;linear BOT coding technology;geographic information system;OpenGL visualization technology","","3","","8","","20 Jan 2009","","","IEEE","IEEE Conferences"
"Terms of application of ICs factorial models in optimal design procedures","I. Kazymyra; O. Kruk; Y. Sanotskyi","Inst. of Telecommun., Radioelectron. & Electron. Devices, Lviv Polytech. Nat. Univ., Ukraine; Inst. of Telecommun., Radioelectron. & Electron. Devices, Lviv Polytech. Nat. Univ., Ukraine; Inst. of Telecommun., Radioelectron. & Electron. Devices, Lviv Polytech. Nat. Univ., Ukraine","Proceedings of the International Conference Modern Problems of Radio Engineering, Telecommunications and Computer Science, 2004.","20 Dec 2004","2004","","","86","87","The terms of ICs factorial models' use in optimal circuit design procedures are considered in this paper. The ICs factorial models are the simplified models of circuits which are automatically synthesised on the basis of the design of computer simulation experiments with IC full mathematical model. Main destination of the synthesised factorial models is an effective search of trade-off solutions in the tasks of multi-objective optimization of IC. We consider the aspects of rightfulness of ICs output parameters approximation by bilinear and quadratic polynomials, the conditions of adequacy of ICs factorial models, their effectiveness on condition of complexity of ICs full model simulation.","","966-553-380-0","","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=1365879","","Integrated circuit modeling;Circuit synthesis;Integrated circuit synthesis;Predictive models;Equations;Constraint optimization;Polynomials;Nonlinear dynamical systems;Computer simulation;Mathematical model","integrated circuit modelling;integrated circuit design;circuit simulation;circuit optimisation;circuit complexity;digital simulation;mathematical analysis;polynomials","IC factorial models;optimal circuit design procedures;computer simulation;IC full mathematical model;trade-off solutions;multiobjective optimization;output parameters approximation;bilinear polynomials;quadratic polynomials;computational complexity","","","","9","","20 Dec 2004","","","IEEE","IEEE Conferences"
